"caseid","sample_weight","prospective_persfin","pred_favored_win","pred_correct_win","health","mortgage","gender","age"
823,0.3714,5,1,0,5,1,1,51
824,1.4232,3,1,1,4,1,0,75
826,0.7007,3,1,0,4,0,1,67
828,4.7383,4,1,1,4,1,0,49
829,1.6604,2,1,1,3,1,1,61
830,0.3695,3,1,0,4,0,1,75
832,0.5394,4,1,1,3,0,0,25
834,0.9901,3,1,0,5,1,1,45
835,0.5232,2,1,0,4,0,0,74
837,0.4299,2,1,1,4,0,1,61
840,0.9462,4,1,1,2,0,1,62
841,0.3958,3,0,1,4,0,1,82
842,2.0507,4,1,0,4,1,0,20
843,0.8618,4,0,1,2,0,1,61
844,0.7768,3,1,0,3,1,0,56
845,0.7442,3,1,0,3,1,0,47
848,1.6202,5,1,1,5,0,1,28
849,0.6732,4,1,0,2,1,1,49
851,1.1363,3,1,0,3,1,0,60
853,1.0288,4,1,0,4,1,0,33
854,2.0921,3,1,0,2,0,0,52
856,0.6034,3,1,1,2,1,1,70
859,1.0015,3,1,1,3,1,1,60
861,1.5581,3,0,1,2,0,0,74
863,0.7644,3,0,1,3,1,0,46
864,1.2182,5,1,0,5,1,1,50
865,0.7041,3,1,1,3,0,0,59
868,0.4371,5,1,0,3,0,1,34
870,1.0358,3,1,0,2,0,0,37
871,2.4365,3,1,1,4,0,1,20
872,0.2325,5,1,0,3,0,0,62
874,0.1968,2,1,0,2,0,1,45
875,1.8885,2,0,1,3,1,0,50
880,0.8389,4,1,0,5,1,0,56
881,1.9709,3,1,0,2,0,0,63
882,0.5812,4,1,0,5,0,1,85
883,0.9353,3,1,0,4,0,1,33
884,0.6284,5,1,1,5,1,0,26
886,0.7881,3,1,1,5,1,0,56
887,1.0739,3,0,1,2,1,0,68
888,1.368,4,0,1,4,0,1,46
889,0.9622,3,1,0,3,0,1,42
890,0.5872,3,1,0,2,1,0,51
891,3.6564,4,1,1,5,0,0,20
892,1.0676,3,0,1,4,0,0,36
893,1.0746,3,1,1,3,0,1,28
894,0.289,4,1,1,2,0,1,47
895,0.7686,3,1,0,5,0,0,47
898,0.5472,3,1,0,4,0,1,68
899,0.8488,4,1,1,3,1,1,37
900,0.2486,4,1,0,5,0,1,53
901,0.4433,4,1,0,5,1,1,32
902,0.458,3,1,0,2,0,0,53
903,1.1362,4,1,0,3,1,0,67
907,0.3295,5,1,0,5,0,1,53
908,0.7808,3,1,0,2,1,1,41
912,0.3874,5,1,0,5,0,1,54
913,0.9041,3,1,0,4,1,0,47
914,0.6481,3,1,0,2,0,0,80
917,0.9693,4,0,1,5,0,0,63
919,0.6287,3,1,1,1,0,1,82
923,0.9306,4,1,0,4,1,1,33
924,0.5696,3,1,1,4,0,0,81
