"vote_choice","respondent_id","approve_EU","NHS_improved","income","female","age","wt_combined_main","party_id","taxspend","vote"
3,117,2,1,11,0,69,0.473738014698029,3,1,TRUE
1,118,5,1,1,0,70,0.947476983070374,3,1,FALSE
4,119,1,1,14,0,23,1.5628319978714,3,1,FALSE
1,122,1,3,9,0,35,1.09824001789093,3,2,FALSE
2,130,1,2,6,0,48,1.09824001789093,3,0,FALSE
2,131,4,2,5,1,56,0.448323011398315,3,0,FALSE
1,141,4,4,5,1,53,1.82939100265503,3,3,FALSE
1,142,4,2,10,0,48,0.726933002471924,3,1,FALSE
1,143,4,1,7,0,79,1.36246395111084,3,2,FALSE
2,146,3,1,7,1,56,0.415996998548508,3,2,FALSE
1,152,3,3,4,1,27,0.608714997768402,3,4,FALSE
2,155,2,3,8,1,46,0.854846000671387,3,1,FALSE
2,158,2,3,4,1,72,0.415996998548508,3,2,FALSE
2,160,1,1,3,0,65,0.430503994226456,3,4,FALSE
2,170,1,2,10,0,50,1.05658102035522,3,1,FALSE
1,173,4,2,7,0,72,0.430503994226456,3,4,FALSE
4,174,1,3,4,0,65,0.861009001731873,3,1,FALSE
2,177,4,4,9,0,55,1.72201597690582,3,1,FALSE
2,182,2,3,13,0,35,1.05658102035522,3,1,FALSE
2,184,5,1,9,1,38,0.886327028274536,3,2,FALSE
2,189,2,1,4,0,48,1.58487105369568,3,9,FALSE
2,194,4,1,4,0,70,0.861009001731873,3,5,FALSE
1,198,2,3,5,0,70,0.861009001731873,3,0,FALSE
2,200,4,1,9,0,55,0.430503994226456,3,5,FALSE
3,201,1,2,14,1,43,1.32948899269104,3,1,TRUE
2,202,2,4,12,1,42,0.443163007497787,3,0,FALSE
2,208,2,3,7,0,38,1.05658102035522,3,10,FALSE
2,209,4,1,4,0,44,1.58487105369568,3,5,FALSE
2,210,5,1,2,0,59,0.430503994226456,3,6,FALSE
1,214,4,2,10,0,40,1.05658102035522,3,2,FALSE
2,215,5,2,7,0,64,0.430503994226456,3,2,FALSE
1,216,3,3,14,0,44,1.05658102035522,3,4,FALSE
1,219,4,3,12,1,34,1.26226401329041,3,4,FALSE
2,227,3,2,8,0,28,0.572951972484589,3,2,FALSE
4,228,1,3,6,0,46,1.58487105369568,3,3,FALSE
2,230,4,3,11,1,49,1.32948899269104,3,0,FALSE
1,232,4,2,11,1,42,0.886327028274536,3,5,FALSE
3,234,2,2,10,0,27,1.14590394496918,3,0,TRUE
3,235,3,2,10,1,52,1.32948899269104,3,1,TRUE
1,236,5,1,4,0,68,0.430503994226456,3,10,FALSE
2,240,2,1,5,0,72,0.473738014698029,3,3,FALSE
1,244,2,1,6,1,53,1.95067501068115,3,2,FALSE
1,248,3,2,5,1,43,0.854846000671387,3,0,FALSE
2,250,3,3,3,1,32,1.21743094921112,3,1,FALSE
2,251,3,3,6,0,26,0.552601993083954,3,3,FALSE
2,253,4,2,3,1,21,0.485083013772964,3,2,FALSE
2,259,2,1,6,0,44,1.01905298233032,3,2,FALSE
2,261,2,1,4,0,68,0.473738014698029,3,3,FALSE
2,266,3,2,2,1,46,0.487668991088867,3,2,FALSE
1,271,1,2,7,0,79,1.08959400653839,3,3,FALSE
4,280,1,1,3,0,73,0.473738014698029,3,6,FALSE
1,282,4,3,8,0,51,1.1626900434494,3,3,FALSE
2,283,4,3,4,0,74,0.947476983070374,3,5,FALSE
2,289,3,1,10,0,49,1.78241002559662,3,1,FALSE
2,299,3,4,2,1,34,0.608714997768402,3,0,FALSE
1,306,3,4,6,0,68,0.83042699098587,3,1,FALSE
1,307,1,2,6,1,65,0.415996998548508,3,0,FALSE
2,309,5,1,6,1,59,0.831993997097015,3,7,FALSE
2,313,5,3,3,0,72,0.415214002132416,3,1,FALSE
2,323,3,1,2,1,76,0.710718989372253,3,0,FALSE
3,324,4,2,6,1,41,0.476884007453918,3,1,TRUE
1,325,2,3,8,1,68,0.464136004447937,3,0,FALSE
1,327,2,3,13,0,74,0.926523983478546,3,2,FALSE
